First user source / medium,Landing page,Total users,% Δ,Add to carts,% Δ,Sessions,% Δ
google / organic,/bonus-fara-depunere,767,-0.1761546723952739,1389,-0.17517814726840855,1059,-0.16614173228346457
google / organic,/top-cazino-online,107,-0.10084033613445378,227,0.23369565217391305,139,-0.014184397163120567
google / organic,/bonus-fara-depunere-pmax,133,0.33,194,0.5772357723577236,164,0.4017094017094017
google / organic,/rotiri-fara-depunere-online,79,-0.3247863247863248,141,-0.1896551724137931,103,-0.27972027972027974
google / organic,/jocuri/pacanele-gratis,826,-0.06455266138165346,139,-0.1419753086419753,2006,-0.07685227795674184
google / organic,(not set),267,-0.16300940438871472,113,0.15306122448979592,1793,-0.17525298988040477
google / organic,/rotiri-gratuite,67,-0.23863636363636365,99,-0.019801980198019802,85,-0.15841584158415842
google / organic,/bonus-fara-depunere-online,82,-0.3492063492063492,95,-0.3262411347517731,93,-0.3716216216216216
google / organic,/,96,-0.2440944881889764,88,-0.49714285714285716,109,-0.2684563758389262
google / organic,/new-no-deposit,40,0.42857142857142855,57,1.1923076923076923,57,0.8387096774193549
google / organic,/cele-mai-noi-cazinouri-2026,34,,48,,42,
bing / organic,/bonus-fara-depunere,21,-0.43243243243243246,44,-0.46987951807228917,31,-0.43636363636363634
google / organic,/bonus-casino-standard/rotiri-gratuite-million,46,-0.20689655172413793,38,0.35714285714285715,51,-0.2153846153846154
google / organic,/jocuri/pacanele-gratis/page/2,341,-0.042134831460674156,38,-0.09523809523809523,693,0.051593323216995446
bing / organic,/rotiri-gratuite,10,-0.23076923076923078,36,3,12,-0.14285714285714285
google / organic,/cazinouri-noi-licentiate,33,-0.34,29,-0.4528301886792453,35,-0.35185185185185186
google / organic,/bonus-fara-rulaj,30,0,28,-0.06666666666666667,35,0.09375
google / organic,/bonus-casino-standard/bonusuri-manhattan-casino,30,-0.3617021276595745,23,-0.39473684210526316,32,-0.39622641509433965
google / organic,/cazinou/prima-casino,72,0.6363636363636364,22,0.29411764705882354,81,0.7608695652173914
google / organic,/oferte-pe-jar,22,-0.7843137254901961,22,-0.8562091503267973,23,-0.8391608391608392
duckduckgo / organic,/bonus-fara-depunere,6,-0.4,17,0.8888888888888888,14,0.07692307692307693
google / organic,/cazinou/manhattan-casino,29,0.45,14,0.5555555555555556,31,0.47619047619047616
google / organic,/roata-norocului-casino,7,0.75,14,2.5,8,1
google / organic,/bonus-casino,2,1,13,2.25,2,1
bing / organic,/jocuri/pacanele-gratis,81,0.15714285714285714,11,0.375,130,0.2871287128712871
yahoo / organic,(not set),1,0,11,4.5,2,0
bing / organic,(not set),28,0.2727272727272727,8,1,43,-0.1568627450980392
duckduckgo / organic,/rotiri-gratuite,6,-0.3333333333333333,7,1.3333333333333333,6,-0.4
google / organic,/slot/shining-crown,64,-0.24705882352941178,7,-0.36363636363636365,123,-0.08208955223880597
google / organic,/termeni-si-conditii,9,0.8,7,-0.3,9,0.8
qwant.com / organic,/rotiri-gratuite,3,2,7,1.3333333333333333,5,1.5
duckduckgo / organic,/bonus-casino-standard/bonusuri-manhattan-casino,5,,6,,6,
google / organic,/casino-vip,12,0.2,6,0.2,12,0.2
google / organic,/ghid/888-casino-bonus-fara-depunere,8,,6,,8,
google / organic,/jocuri/pacanele-cu-coroane,32,0.3333333333333333,6,2,41,0.17142857142857143
google / organic,/slot/burning-hot,25,0.041666666666666664,6,,38,0.11764705882352941
bing / organic,/rotiri-fara-depunere-online,1,0,5,-0.16666666666666666,1,0
duckduckgo / organic,/jocuri/pacanele-gratis,11,-0.08333333333333333,5,1.5,24,0.2
google / organic,/bonus-pariuri-fara-depunere,12,0.2,5,-0.375,13,0.18181818181818182
google / organic,/sloturi,30,-0.21052631578947367,5,,66,-0.20481927710843373
google / organic,/bonus-casino-exclusiv/rotiri-gratuite-winboss,6,,4,,6,
google / organic,/cazinou/winmasters,1,,4,,1,
google / organic,/cazinouri-online-noi,8,1,4,3,8,1
google / organic,/diverse/faci-bani-introducand-coduri,3,2,4,,3,2
google / organic,/jocuri/pacanele-fructe,27,0.35,4,0,52,0.2682926829268293
google / organic,/pacanele-online-cu-cardul,2,1,4,,2,1
google / organic,/producatori-sloturi/amusnet,65,0.015625,4,0.3333333333333333,140,0.021897810218978103
google / organic,/slot/big-bass-splash-demo,5,0,4,,7,-0.125
google / organic,/slot/sizzling-hot-deluxe,48,-0.30434782608695654,4,0.3333333333333333,110,-0.09836065573770492
bing / organic,/oferte-pe-jar,2,0,3,,2,0
duckduckgo / organic,/bonus-casino-exclusiv/netbet-rotiri-gratuite,1,,3,,1,
google / organic,/bonus-casino-exclusiv/bilion-casino-bonus-fara-depunere,9,-0.1,3,-0.75,10,-0.23076923076923078
google / organic,/bonus-casino-standard/bonus-32rosu,4,1,3,0,5,1.5
google / organic,/bonus-de-bun-venit,14,-0.2222222222222222,3,-0.9142857142857143,14,-0.2631578947368421
google / organic,/cazinou/32rosu,2,1,3,,4,3
google / organic,/cazinou/777-casino,10,-0.2857142857142857,3,-0.4,11,-0.26666666666666666
google / organic,/ghid/pacanele-gratis-netbet,6,5,3,,8,7
google / organic,/jocuri/pacanele-cu-speciale,35,-0.10256410256410256,3,-0.4,64,-0.2808988764044944
google / organic,/slot/shining-crown-bell-link-demo,16,-0.38461538461538464,3,0.5,21,-0.4166666666666667
google / organic,/sm-bonus-fara-depunere-casino-online,3,2,3,2,3,2
yahoo / organic,/rotiri-gratuite,1,0,3,,1,0
bing / organic,/bonus-casino-exclusiv/bonus-fara-depunere-betano,4,3,2,1,4,3
bing / organic,/bonus-casino-standard/bonus-fara-depunere-betmen,1,,2,,2,
bing / organic,/bonus-casino-standard/bonusuri-joker-casino,1,,2,,1,
duckduckgo / organic,/bonus-fara-rulaj,2,,2,,3,
google / organic,/bonus-casino-exclusiv/netbet-rotiri-gratuite,3,-0.25,2,1,3,-0.25
google / organic,/bonus-casino-standard/bonus-fara-depunere-fortuna,1,,2,,1,
google / organic,/bonus-casino-standard/bonus-fara-depunere-napoleon-games,2,1,2,1,2,1
google / organic,/bonus-casino-standard/bonus-vipbet-casino,47,2.1333333333333333,2,-0.5,50,2.3333333333333335
google / organic,/bonus-casino-standard/bonus-zinx-casino,2,,2,,2,
google / organic,/bonus-casino-standard/vlad-cazino-rotiri-gratuite,5,0.25,2,1,6,0.5
google / organic,/cazinou/bilion-casino,4,-0.3333333333333333,2,1,5,-0.16666666666666666
google / organic,/cazinou/lady-casino,1,-0.8,2,,1,-0.8333333333333334
google / organic,/cazinou/zinx,12,-0.4782608695652174,2,-0.6,12,-0.5
google / organic,/cazinouri,5,1.5,2,1,5,1.5
google / organic,/diverse/jocuri-care-te-platesc-in-bani-reali,5,0.25,2,1,6,0.2
google / organic,/jocuri/bell-link-demo,2,1,2,,2,0
google / organic,/jocuri/pacanele-cu-trifoi,9,-0.4375,2,-0.3333333333333333,19,-0.13636363636363635
google / organic,/jocuri/ruleta-online-gratis,1,0,2,,2,1
