First user source / medium,Landing page,Total users,% Δ,Add to carts,% Δ,Sessions,% Δ
google / organic,/bonus-casino,611,-0.25759416767922233,848,-0.36096458176337604,832,-0.2901023890784983
google / organic,/casino-online,356,0.7198067632850241,508,0.49852507374631266,403,0.6055776892430279
google / organic,/top-cazino-online,149,-0.09696969696969697,390,0.20743034055727555,213,0.014285714285714285
google / organic,/bonus-fara-rulaj,247,0,388,-0.07177033492822966,309,-0.0830860534124629
google / organic,/bonus-fara-depunere-online,223,-0.22569444444444445,293,-0.2638190954773869,293,-0.2656641604010025
google / organic,/rotiri-fara-depunere-online,153,0.06993006993006994,244,-0.024,218,-0.0045662100456621
google / organic,(not set),240,-0.1366906474820144,195,-0.2585551330798479,323,-0.11019283746556474
google / organic,/rotiri-fara-depunere-pmax,127,-0.16447368421052633,184,-0.046632124352331605,159,-0.205
google / organic,/,136,-0.10526315789473684,140,-0.1907514450867052,191,-0.09905660377358491
google / organic,/vipbet-casino,193,2.216666666666667,96,1.6666666666666667,207,2.1363636363636362
google / organic,/t/bonus-fara-depunere,94,-0.050505050505050504,86,0.5087719298245614,110,-0.12
google / organic,/blog/zinx-casino-bonus-fara-depunere,167,-0.08241758241758242,83,0.23880597014925373,189,-0.05025125628140704
google / organic,/toate-bonusurile-fara-depunere,74,2.5238095238095237,68,0.8888888888888888,89,2.869565217391304
bing / organic,/bonus-casino,42,-0.10638297872340426,67,-0.12987012987012986,69,-0.1375
bing / organic,/casino-online,21,0.05,66,1.4444444444444444,31,0.2916666666666667
google / organic,/zinx-casino,71,0.33962264150943394,44,0.2571428571428571,84,0.4482758620689655
google / organic,/blog/promotii-superbet-fara-depunere,54,-0.5263157894736842,43,-0.2833333333333333,60,-0.4957983193277311
google / organic,/cazinouri-noi-licentiate,37,-0.26,39,0.08333333333333333,46,-0.14814814814814814
google / organic,/blog/888-bonus-fara-depunere,63,1.25,35,2.1818181818181817,69,1.3
google / organic,/blog/bilion-casino-bonus-fara-depunere,47,-0.04081632653061224,35,0,50,-0.16666666666666666
google / organic,/cazinouri-noi-cu-depunere,38,-0.40625,27,-0.2894736842105263,46,-0.3611111111111111
google / organic,/blog/winner-bonus-fara-depunere,32,0.14285714285714285,23,0.5333333333333333,32,0.14285714285714285
google / organic,/bonusuri-de-top,5,-0.16666666666666666,23,0.35294117647058826,5,-0.16666666666666666
google / organic,/blog/depunere-minima-10-lei,27,0.6875,22,1.2,27,0.42105263157894735
google / organic,/777-casino,13,-0.07142857142857142,21,3.2,18,0.2857142857142857
google / organic,/rotiri-fara-depunere-ex,20,0.05263157894736842,20,-0.4594594594594595,22,0
duckduckgo / organic,(not set),12,0.7142857142857143,18,-0.05263157894736842,14,0.16666666666666666
google / organic,/top-bonus-bun-venit,36,-0.29411764705882354,18,0.5,36,-0.3684210526315789
google / organic,/blog/manhattan-casino-bonus-fara-depunere,20,-0.5238095238095238,17,-0.575,23,-0.5208333333333334
google / organic,/blog/betano-bonus-fara-depunere,24,0.3333333333333333,15,1.1428571428571428,25,0.3157894736842105
duckduckgo / organic,/casino-online,13,0.3,14,-0.2222222222222222,21,0.3125
google / organic,/publicwin,15,0.07142857142857142,14,-0.5333333333333333,15,0.07142857142857142
bing / organic,/bonusuri-de-top,1,,12,,1,
duckduckgo / organic,/bonus-casino,10,-0.09090909090909091,12,0.3333333333333333,20,0.25
bing / organic,(not set),10,-0.5238095238095238,11,-0.42105263157894735,12,-0.5
google / organic,/blog/top-aplicatii-casino,16,-0.1111111111111111,11,-0.26666666666666666,17,-0.19047619047619047
google / organic,/blog/bet7-bonus-fara-depunere,20,-0.13043478260869565,9,0.2857142857142857,23,-0.08
google / organic,/cod-bonus-casino,26,0.23809523809523808,9,-0.47058823529411764,28,0.16666666666666666
google / organic,/million-casino,24,-0.04,9,0.2857142857142857,24,-0.04
google / organic,/sloturi-gratis,15,0.5,9,3.5,17,0.5454545454545454
google / organic,/blog/abon,8,3,8,7,10,4
google / organic,/oferte-limitate,15,0.25,8,1.6666666666666667,17,0.4166666666666667
google / organic,/vlad-cazino,19,1.1111111111111112,8,,21,1.3333333333333333
google / organic,/blog/betmen-bonus-fara-depunere,11,0.375,7,0.4,15,0.875
google / organic,/blog/cazinouri-cu-retragere-rapida,17,0.5454545454545454,7,0.4,18,0.5
google / organic,/blog/elite-slots-bonus-fara-depunere,26,0.04,7,0.16666666666666666,26,0.04
google / organic,/blog/oferta-bonus-fara-depunere-netbet,13,-0.2777777777777778,7,-0.2222222222222222,16,-0.23809523809523808
google / organic,/don-casino,10,0.25,7,1.3333333333333333,11,0.375
google / organic,/freebet-fara-depunere,13,-0.1875,7,-0.5882352941176471,15,-0.34782608695652173
google / organic,/blog/aplicatie-million-casino,4,-0.2,6,2,5,0
google / organic,/blog/cod-promotional-cashpot,14,0.4,6,0,16,0.45454545454545453
google / organic,/blog/maxbet-bonus-fara-depunere,13,2.25,6,0,14,2.5
google / organic,/blog/napoleon-games-bonus-fara-depunere,9,-0.3076923076923077,6,0,9,-0.3076923076923077
google / organic,/blog/verificare-cont-totalbet,1,,6,,1,
google / organic,/blog/winbet-bonus-fara-depunere,4,,6,,6,
google / organic,/blog/cod-bonus-maxbet,5,0.25,5,1.5,5,0.25
google / organic,/cazinouri-rulaj-mic-2026,23,0.7692307692307693,5,-0.16666666666666666,24,0.7142857142857143
duckduckgo / organic,/blog/promotii-superbet-fara-depunere,3,,4,,3,
google / organic,/blog/bonus-bun-venit-888-depunere,5,,4,,6,
google / organic,/blog/bonusbet-casino-bonus-fara-depunere,19,-0.36666666666666664,4,-0.6666666666666666,19,-0.3870967741935484
google / organic,/blog/king-casino-bonus-fara-depunere,11,0.5714285714285714,4,1,11,0.2222222222222222
google / organic,/blog/manhattan-casino-bonus-de-bun-venit,12,0.7142857142857143,4,-0.42857142857142855,12,-0.14285714285714285
google / organic,/blog/pariuriplus-bonus-fara-depunere,6,-0.5384615384615384,4,-0.6666666666666666,7,-0.5333333333333333
google / organic,/blog/ultrabet-bonus-fara-depunere,19,0.1875,4,-0.5,21,0.23529411764705882
google / organic,/bonusbet-casino,3,-0.625,4,-0.42857142857142855,3,-0.625
google / organic,/prima-casino,4,0.3333333333333333,4,3,4,0.3333333333333333
google / organic,/spin-casino,4,1,4,,4,1
google / organic,/top-oferte-cazinouri-romania-2026,10,-0.6296296296296297,4,-0.8461538461538461,10,-0.6296296296296297
google / organic,/viva-bet,2,,4,,2,
google / organic,/betmen-casino,6,0,3,2,7,0.16666666666666666
google / organic,/blog/cazinouri-straine,21,-0.125,3,-0.5,24,-0.07692307692307693
google / organic,/blog/cod-bonus-superbet,17,0.5454545454545454,3,2,18,0.5
google / organic,/blog/conticazino-bonus-fara-depunere,6,1,3,,7,1.3333333333333333
google / organic,/blog/fortuna-bonus-bun-venit,2,-0.6,3,0,2,-0.6
