First user source / medium,Landing page,Total users,% Δ,Add to carts,% Δ,Sessions,% Δ
google / organic,/bonus-fara-depunere,3397,-0.23196925163915894,7360,-0.23173277661795408,5391,-0.1754359131232793
google / organic,/top-cazino-online,448,0.15762273901808785,1203,0.4203069657615112,696,0.33078393881453155
google / organic,/jocuri/pacanele-gratis,2717,-0.10122394971882236,777,0.010403120936280884,9654,0.016531536274613037
google / organic,/bonus-fara-depunere-pmax,455,0.22311827956989247,736,0.45454545454545453,622,0.27983539094650206
google / organic,/rotiri-fara-depunere-online,348,-0.07692307692307693,660,-0.15816326530612246,527,0.0057251908396946565
google / organic,/,550,-0.2537313432835821,641,-0.25378346915017463,702,-0.19679633867276888
google / organic,/bonus-fara-depunere-online,438,-0.11871227364185111,630,-0.26573426573426573,620,-0.06626506024096386
google / organic,/rotiri-gratuite,347,-0.3656307129798903,589,-0.4864864864864865,501,-0.32297297297297295
google / organic,(not set),1071,0.23672055427251731,486,0.010395010395010396,8220,0.9264119990625732
bing / organic,/bonus-fara-depunere,103,0.15730337078651685,329,-0.4395229982964225,209,-0.018779342723004695
google / organic,/new-no-deposit,174,0.21678321678321677,241,-0.13309352517985612,256,0.1743119266055046
google / organic,/cazinouri-noi-licentiate,181,-0.026881720430107527,189,-0.010471204188481676,221,-0.017777777777777778
google / organic,/oferte-pe-jar,116,,175,,166,
bing / organic,/rotiri-gratuite,49,-0.234375,153,-0.24630541871921183,91,-0.23529411764705882
google / organic,/jocuri/pacanele-gratis/page/2,995,3.094650205761317,152,4.62962962962963,2396,3.0201342281879193
google / organic,/bonus-fara-rulaj,134,-0.5718849840255591,144,-0.5167785234899329,152,-0.5846994535519126
google / organic,/bonus-casino-standard/rotiri-gratuite-million,211,0.6746031746031746,129,0.19444444444444445,244,0.7681159420289855
google / organic,/bonus-casino-standard/bonusuri-manhattan-casino,128,-0.4732510288065844,93,2.3214285714285716,149,-0.4562043795620438
duckduckgo / organic,/bonus-fara-depunere,39,-0.025,89,-0.39864864864864863,73,-0.0875
