First user source / medium,Landing page,Total users,% Δ,Add to carts,% Δ,Sessions,% Δ
google / organic,/jocuri/pacanele-clasice,235773,,73829,,596397,
google / organic,/bonus-de-casino,9016,,24984,,16264,
google / organic,/rotiri-gratuite,8128,,19570,,13365,
google / organic,/jocuri-pacanele,27018,,8624,,63752,
google / organic,/,16560,,5854,,27355,
google / organic,(not set),24004,,5732,,159672,
google / organic,/bonusuri-fara-depunere-pm,1732,,5664,,3797,
google / organic,/jocuri-cu-pacanele/shinning-crown-pacanele-online,48060,,3569,,95428,
bing / organic,/jocuri/pacanele-clasice,19432,,3114,,38901,
google / organic,/jocuri-cu-pacanele/pacanele-online-sizzling-hot-deluxe,14320,,2948,,48213,
google / organic,/jocuri-cu-pacanele/pacanele-7777-40-super-hot,13445,,2771,,25787,
google / organic,/producatori-jocuri/egt-gratis,12088,,2464,,30270,
google / organic,/jocuri-cu-pacanele/pacanele-cu-77777-fruit-cocktail,4570,,2224,,19576,
google / organic,/jocuri-cu-pacanele/pacanele-book-of-ra-deluxe,9211,,1469,,29003,
google / organic,/jocuri-cu-pacanele/pacanele-ca-la-aparate-crazy-monkey,2075,,1307,,10736,
google / organic,/jocuri-cu-pacanele/burning-hot-pacanele-cu-fructe,13339,,1013,,27972,
google / organic,/jocuri-cu-pacanele/joc-pacanele-dice-roll,11199,,990,,21424,
google / organic,/jocuri/pacanele-clopotei,1989,,770,,5554,
google / organic,/jocuri-cu-pacanele/40-burning-hot-gratis,10015,,661,,21905,
google / organic,/top-casino-online-romania,697,,660,,888,
google / organic,/888-casino-bonus-fara-depunere,559,,607,,684,
google / organic,/jocuri/pacanele-fructe,1695,,492,,5321,
bing / organic,/bonus-de-casino,158,,439,,269,
bing / organic,(not set),2221,,436,,8124,
bing / organic,/jocuri-pacanele,2531,,430,,4512,
google / organic,/jocuri/pacanele-coroane,1482,,400,,3009,
google / organic,/oferte-halloween-2025-mail,264,,363,,435,
google / organic,/jocuri-cu-pacanele/pacanele-ca-la-aparate-lucky-lady-charm-deluxe,2055,,339,,12419,
google / organic,/jocuri/ruleta-online,1741,,328,,2839,
google / organic,/jocuri-cu-pacanele/20-dazzling-hot-gratis,6932,,315,,12396,
google / organic,/top-cazinouri-online-2026,152,,293,,225,
duckduckgo / organic,/jocuri/pacanele-clasice,1218,,286,,1967,
google / organic,/bonus-fara-depunere-12xbet-casino,543,,285,,600,
google / organic,/jocuri/pacanele-trifoi,681,,284,,1742,
google / organic,/jocuri-cu-pacanele/jocuri-cu-pacanele-20-super-hot,4764,,265,,10195,
google / organic,/jocuri-cu-pacanele/pacanele-gratis-dazzling-hot,5908,,254,,12173,
google / organic,/jocuri-cu-pacanele/garage-gratis,543,,228,,3741,
google / organic,/jocuri-cu-pacanele/20-burning-hot-gratis,3955,,205,,8735,
google / organic,/jocuri-cu-pacanele/100-super-hot-gratis,3616,,204,,7408,
google / organic,/bonus-fara-rulaj,383,,185,,443,
bing / organic,/jocuri-cu-pacanele/pacanele-7777-40-super-hot,2210,,172,,3952,
google / organic,/jocuri-cu-pacanele/fire-blaze-red-wizard-gratis,2586,,170,,3518,
google / organic,/jocuri/poker-ca-la-aparate,1518,,167,,2440,
google / organic,/jocuri-cu-pacanele/777-strike-gratis,77,,165,,294,
google / organic,/jocuri-cu-pacanele/island-gratis,110,,163,,366,
google / organic,/bonus-fara-depunere-swiper,999,,162,,1078,
google / organic,/jocuri-cu-pacanele/40-super-hot-bell-link-gratis,2145,,158,,5291,
google / organic,/jocuri-cu-pacanele/american-poker-2-gratis,2500,,149,,5639,
google / organic,/jocuri-cu-pacanele/5-dazzling-hot-bell-link-gratis,1863,,144,,3885,
google / organic,/jocuri-cu-pacanele/extra-stars-gratis,1984,,142,,3808,
bing / organic,/rotiri-gratuite,58,,140,,85,
google / organic,/jocuri-cu-pacanele/100-burning-hot-gratis,2481,,138,,4557,
google / organic,/jocuri/pacanele-speciale,1003,,136,,1872,
google / organic,/jocuri/pacanele-noi,127,,133,,207,
google / organic,/jocuri-cu-pacanele/fruit-cocktail-2-gratis,444,,130,,1107,
google / organic,/bonus-fara-depunere-ultrabet,606,,129,,671,
google / organic,/articole/bonus-fara-depunere,292,,128,,311,
qwant.com / organic,/bonus-de-casino,14,,124,,99,
google / organic,/cele-mai-noi-cazinouri-2026,110,,120,,142,
google / organic,/bonus-fara-depunere-bonusbet,289,,117,,306,
google / organic,/oferte-de-craciun-2025-mail,43,,116,,67,
google / organic,/bonus-fara-depunere-mr-play,882,,112,,983,
bing / organic,/jocuri-cu-pacanele/shinning-crown-pacanele-online,2984,,109,,4128,
bing / organic,/recenzie/12xbet-casino,80,,109,,129,
google / organic,/top-pacanele-pm,818,,109,,1368,
google / organic,/jocuri-cu-pacanele/40-burning-hot-bell-link-gratis,1380,,108,,3082,
google / organic,/bonus-de-bun-venit-vipbet-casino,1061,,107,,1211,
duckduckgo / organic,/bonus-de-casino,64,,106,,91,
google / organic,/jocuri-cu-pacanele/roaring-forties-gratis,679,,102,,1606,
google / organic,/jocuri-cu-pacanele/more-dice-roll-gratis,1033,,98,,1771,
google / organic,/swiper-bonus-de-bun-venit,419,,98,,451,
google / organic,/jocuri-cu-pacanele/versailles-gold-egt-gratis,1363,,90,,5809,
google / organic,/jocuri-cu-pacanele/20-diamonds-gratis,983,,89,,1701,
google / organic,/jocuri-cu-pacanele/shining-crown-bell-link-gratis,1092,,89,,2414,
google / organic,/cod-bonus-casino,199,,85,,231,
bing / organic,/,396,,84,,780,
google / organic,/jocuri/pacanele-dublaje,571,,84,,792,
qwant.com / organic,/jocuri/pacanele-clasice,285,,84,,555,
bing / organic,/jocuri-cu-pacanele/40-super-hot-bell-link-gratis,68,,83,,196,
yahoo / organic,/jocuri/pacanele-clasice,647,,82,,889,
google / organic,/bonus-fara-depunere-vivabet,80,,80,,104,
google / organic,/jocuri-cu-pacanele/supreme-hot-gratis,1897,,79,,3277,
google / organic,/bonus-fara-depunere-zinx-casino,938,,78,,1047,
google / organic,/jocuri/blackjack-gratis-online,567,,78,,643,
google / organic,/bonus-halloween-casino,128,,77,,149,
google / organic,/jocuri-cu-pacanele/aviator-gratis,1187,,77,,1677,
bing / organic,/recenzie/king-casino,75,,73,,108,
google / organic,/jocuri-cu-pacanele/40-burning-hot-6-reels-gratis,1404,,73,,3363,
google / organic,/jocuri-cu-pacanele/joker-poker-gratis,436,,73,,654,
google / organic,/jocuri-cu-pacanele/40-shining-crown-bell-link-gratis,1317,,72,,3080,
google / organic,/jocuri-cu-pacanele/resident-gratis,231,,72,,831,
google / organic,/jocuri-cu-pacanele/20-super-hot-bell-link-gratis,1181,,71,,2318,
qwant.com / organic,/rotiri-gratuite,24,,71,,41,
google / organic,/jocuri-cu-pacanele/lucky-pharaoh-gratis,305,,70,,686,
google / organic,/jocuri-cu-pacanele/power-stars-gratis,398,,66,,1195,
google / organic,/jocuri-cu-pacanele/40-ultra-respin-gratis,593,,65,,828,
bing / organic,/jocuri-cu-pacanele/pacanele-book-of-ra-deluxe,410,,62,,911,
bing / organic,/producatori-jocuri/egt-gratis,489,,62,,1055,
google / organic,/oferte-halloween-2025-push,100,,61,,141,
google / organic,/jocuri-cu-pacanele/10-burning-heart-gratis,922,,58,,1643,
google / organic,/jocuri-cu-pacanele/flaming-hot-gratis,728,,58,,1840,
google / organic,/conticazino-bonus-fara-depunere,106,,57,,119,
google / organic,/jocuri-cu-pacanele/lord-of-the-ocean-gratis,224,,57,,1324,
google / organic,/bonus-fara-depunere-wacko,170,,55,,185,
yahoo / organic,/bonus-de-casino,11,,53,,24,
google / organic,/bonus-de-bun-venit-12-xbet,123,,51,,138,
google / organic,/jocuri-cu-pacanele/20-hot-blast-gratis,1151,,51,,2607,
duckduckgo / organic,(not set),291,,50,,814,
google / organic,/jocuri-cu-pacanele/40-wild-fire-6-gratis,283,,50,,524,
google / organic,/jocuri-cu-pacanele/honey-honey-honey-gratis,14,,49,,14,
google / organic,/jocuri-cu-pacanele/sweet-bonanza-gratis,606,,49,,1264,
google / organic,/bonus-aniversar-casino,78,,48,,93,
google / organic,/jocuri-cu-pacanele/30-spicy-fruits-gratis,656,,47,,1591,
google / organic,/vara-tentatiei-google,154,,45,,199,
google / organic,/jocuri-cu-pacanele/27-wins-gratis,775,,44,,1153,
google / organic,/top-pacanele-cu-pesti,107,,44,,230,
google / organic,/jocuri-cu-pacanele/ultra-hot-deluxe-gratis,234,,42,,675,
google / organic,/recenzie/pacanele-casino,4,,42,,4,
bing / organic,/bonusuri-fara-depunere-pm,15,,41,,31,
google / organic,/bonus-fara-depunere-king-casino,101,,41,,122,
google / organic,/bonus-fara-depunere-pacanele-casino,79,,41,,90,
google / organic,/winner-bonus-de-bun-venit,67,,41,,72,
duckduckgo / organic,/rotiri-gratuite,28,,40,,34,
google / organic,/jocuri-cu-pacanele/gates-of-olympus-gratis,904,,40,,1379,
google / organic,/bonus-fara-depunere-lady,57,,39,,60,
google / organic,/recenzie/wacko-casino,69,,39,,69,
google / organic,/jocuri-cu-pacanele/10-burning-heart-clover-chance-gratis,511,,38,,1327,
google / organic,/jocuri-cu-pacanele/40-hot-cash-gratis,482,,38,,715,
google / organic,/jocuri-cu-pacanele/crazy-monkey-2-gratis,128,,38,,1784,
google / organic,/jocuri-cu-pacanele/book-of-ra-mystic-fortunes-gratis,295,,37,,958,
google / organic,/jocuri-cu-pacanele/magic-81-lines-gratis,221,,37,,454,
google / organic,/recenzie/12xbet-casino,49,,36,,59,
google / organic,/jocuri-cu-pacanele/40-lucky-king-bell-link-gratis,358,,35,,981,
google / organic,/bonus-fara-depunere-elite-slots,87,,34,,94,
google / organic,/jocuri-cu-pacanele/big-bass-baboiu-din-delta-gratis,600,,34,,862,
google / organic,/recenzie/publicwin-casino,14,,33,,16,
google / organic,/bonus-fara-depunere-admiral-bet,54,,32,,58,
google / organic,/inregistrare-cazinouri-online,115,,32,,128,
google / organic,/jocuri-cu-pacanele/dolphins-pearl-deluxe-gratis,714,,32,,2998,
google / organic,/jocuri-cu-pacanele/ultimate-hot-gratis,910,,32,,1480,
google / organic,/jocuri-cu-pacanele/zodiac-wheel-gratis,345,,32,,668,
google / organic,/blog,42,,31,,127,
google / organic,/jocuri-cu-pacanele/big-bass-bonanza-gratis,532,,31,,718,
google / organic,/jocuri-cu-pacanele/jokers-luck-gratis,321,,30,,370,
google / organic,/jocuri-cu-pacanele/penguin-style-gratis,528,,30,,939,
duckduckgo / organic,/jocuri-pacanele,132,,29,,213,
google / organic,/goaffcas/bn-,147,,29,,191,
google / organic,/vara-tentatiei-email,34,,29,,43,
bing / organic,/jocuri/pacanele-clopotei,31,,28,,261,
google / organic,/jocuri-cu-pacanele/100-power-hot-gratis,450,,28,,659,
google / organic,/loto-cehia,65,,28,,70,
google / organic,/winner-fun,208,,28,,254,
google / organic,/bonus-fara-depunere-prowin-casino,120,,27,,144,
google / organic,/jocuri-cu-pacanele/20-bulky-fruits-gratis,389,,27,,673,
google / organic,/jocuri-cu-pacanele/plenty-on-twenty-gratis,245,,27,,494,
google / organic,/jocuri-cu-pacanele/sweet-life-gratis,36,,27,,123,
bing / organic,/jocuri-cu-pacanele/burning-hot-pacanele-cu-fructe,629,,26,,1010,
google / organic,/jocuri-cu-pacanele/50-extreme-hot-gratis,291,,26,,601,
google / organic,/jocuri-cu-pacanele/4-of-a-kind-bonus-poker-gratis,285,,25,,398,
google / organic,/jocuri-cu-pacanele/40-lucky-king-gratis,275,,25,,462,
google / organic,/jocuri-cu-pacanele/fishin-frenzy-megaways-gratis,124,,25,,269,
google / organic,/jocuri-cu-pacanele/fortuna-trueways-gratis,40,,25,,72,
google / organic,/jocuri-cu-pacanele/mega-joker-gratis,280,,25,,404,
google / organic,/player-casino-bonus-fara-depunere,34,,25,,37,
google / organic,/producatori-jocuri/novomatic-gratis,234,,25,,333,
bing / organic,/jocuri-cu-pacanele/pacanele-online-sizzling-hot-deluxe,631,,24,,1237,
google / organic,/bonus-fara-depunere-maxwin,98,,24,,102,
google / organic,/recenzie/pokerstars-casino,3,,24,,8,
google / organic,/hack-pacanele,707,,23,,749,
google / organic,/jocuri-cu-pacanele/age-of-troy-gratis,402,,23,,912,
google / organic,/jocuri-cu-pacanele/eye-of-horus-megaways-gratis,202,,23,,304,
google / organic,/ghid/cele-mai-bune-pacanele-online,197,,22,,224,
google / organic,/jocuri-cu-pacanele/20-golden-coins-gratis,341,,22,,468,
google / organic,/jocuri-cu-pacanele/40-mega-clover-gratis,536,,22,,1052,
google / organic,/jocuri-cu-pacanele/flaming-hot-extreme-bell-link-gratis,529,,22,,1566,
google / organic,/producatori-jocuri/igrosoft,51,,22,,332,
google / organic,/recenzie/pariuri-plus,6,,22,,7,
google / organic,/jocuri/pacanele-egipt,165,,21,,230,
google / organic,/producatori-jocuri,44,,21,,49,
google / organic,/jocuri-cu-pacanele/amazons-battle-gratis,193,,20,,439,
google / organic,/jocuri-cu-pacanele/super-fruits-wild-gratis,125,,20,,140,
google / organic,/recenzie/bonusbet-casino,8,,20,,8,
yahoo / organic,/jocuri-cu-pacanele/pacanele-7777-40-super-hot,128,,20,,150,
bing / organic,/jocuri/poker-ca-la-aparate,126,,19,,283,
duckduckgo / organic,/jocuri-cu-pacanele/pacanele-cu-77777-fruit-cocktail,10,,19,,51,
google / organic,/bonus-fara-depunere-publicwin,27,,19,,38,
google / organic,/cazinouri-aircash,120,,19,,138,
google / organic,/jocuri-cu-pacanele/20-joker-reels-gratis,327,,19,,665,
google / organic,/jocuri-cu-pacanele/5-burning-heart-gratis,403,,19,,661,
google / organic,/jocuri-cu-pacanele/vampire-night-gratis,559,,19,,1031,
google / organic,/oferte-de-craciun-2025-push,3,,19,,5,
google / organic,/recenzie/king-casino,22,,19,,33,
google / organic,/recenzie/lady-casino,12,,19,,13,
bing / organic,/jocuri-cu-pacanele/40-burning-hot-gratis,293,,18,,604,
google / organic,/bonus-fara-depunere-magnumbet,58,,18,,59,
google / organic,/bonus-poker-fortuna,34,,18,,40,
google / organic,/jocuri-cu-pacanele/flaming-hot-extreme-gratis,497,,18,,1347,
google / organic,/promotii-royal-slots-casino,7,,18,,8,
google / organic,/recenzie/swiper-casino,34,,18,,39,
duckduckgo / organic,/jocuri-cu-pacanele/pacanele-ca-la-aparate-crazy-monkey,6,,17,,44,
google / organic,/bonus-de-bun-venit-napoleon-casino,35,,17,,38,
google / organic,/bonus-fara-depunere-napoleon-casino,38,,17,,40,
google / organic,/bonus-fara-depunere-winner,69,,17,,75,
google / organic,/jocuri-cu-pacanele/40-treasures-gratis,309,,17,,522,
google / organic,/jocuri-cu-pacanele/5-dazzling-hot-clover-chance-gratis,129,,17,,188,
google / organic,/jocuri-cu-pacanele/burning-hot-clover-chance-gratis,239,,17,,808,
google / organic,/jocuri-cu-pacanele/lucky-wild-gratis,192,,17,,316,
google / organic,/jocuri-cu-pacanele/more-lucky-and-wild-gratis,74,,17,,191,
google / organic,/magic-jackpot-bonus-fara-depunere,21,,17,,21,
bing / organic,/jocuri-cu-pacanele/pacanele-cu-77777-fruit-cocktail,58,,16,,202,
google / organic,/bonus-fara-depunere-cherrybet,119,,16,,121,
google / organic,/bonus-fara-depunere-royal-slots-casino,34,,16,,37,
google / organic,/bonus-fara-depunere-superbet,38,,16,,44,
google / organic,/jocuri-cu-pacanele/100-lucky-hat-clover-chance-gratis,274,,16,,825,
google / organic,/jocuri-cu-pacanele/20-power-hot-gratis,207,,16,,352,
google / organic,/jocuri-cu-pacanele/25-red-hot-7-clover-link-gratis,334,,16,,665,
google / organic,/jocuri-cu-pacanele/40-shining-jewels-gratis,310,,16,,427,
google / organic,/jocuri-cu-pacanele/book-of-ra-magic-gratis,40,,16,,59,
google / organic,/jocuri-cu-pacanele/rise-of-ra-gratis,229,,16,,1143,
google / organic,/jocuri-cu-pacanele/roaring-wilds-gratis,185,,16,,279,
google / organic,/bonus-fara-depunere-hot-spins-casino,15,,15,,15,
google / organic,/jocuri-cu-pacanele/100-juicy-fruits-gratis,294,,15,,445,
google / organic,/jocuri-cu-pacanele/20-star-party-gratis,173,,15,,248,
qwant.com / organic,/jocuri-pacanele,42,,15,,70,
google / organic,/bonus-fara-depunere-totalbet-casino,17,,14,,19,
google / organic,/jocuri-cu-pacanele/egypt-sky-gratis,174,,14,,568,
google / organic,/jocuri-cu-pacanele/pirate-gratis,49,,14,,113,
google / organic,/jocuri/pacanele-pesti,22,,14,,43,
google / organic,/pacanele-favorite,110,,14,,141,
google / organic,/recenzie/prima-casino,5,,14,,5,
bing / organic,/jocuri-cu-pacanele/joc-pacanele-dice-roll,399,,13,,621,
bing / organic,/jocuri-cu-pacanele/jokers-luck-gratis,9,,13,,9,
google / organic,/interzis-minorilor,18,,13,,24,
google / organic,/jocuri-cu-pacanele/extra-crown-deluxe-gratis,209,,13,,245,
google / organic,/jocuri-cu-pacanele/game-of-luck-gratis,74,,13,,173,
google / organic,/jocuri-cu-pacanele/lucky-hot-gratis,349,,13,,583,
google / organic,/jocuri-cu-pacanele/vegas-nights-gratis,53,,13,,57,
google / organic,/recenzie/stanleybet-casino,3,,13,,3,
yahoo / organic,/jocuri-pacanele,79,,13,,130,
duckduckgo / organic,/jocuri-cu-pacanele/shinning-crown-pacanele-online,249,,12,,464,
google / organic,/bonus-de-bun-venit-bonusbet,67,,12,,70,
google / organic,/bonus-fara-depunere-excelbet,21,,12,,22,
google / organic,/bonus-fara-depunere-seven,32,,12,,34,
google / organic,/jocuri-cu-pacanele/7-and-crystals-gratis,274,,12,,389,
google / organic,/jocuri-cu-pacanele/fire-and-roses-joker-gratis,18,,12,,31,
google / organic,/jocuri-cu-pacanele/jewels-4-all-gratis,162,,12,,223,
google / organic,/jocuri-cu-pacanele/vampire-night-bell-link-gratis,190,,12,,283,
google / organic,/oferte-casino-craciun,27,,12,,28,
google / organic,/pacanele-netbet-casino,56,,12,,76,
google / organic,/producatori-jocuri/no-limit,116,,12,,147,
google / organic,/roata-norocului-casino,28,,12,,38,
google / organic,/seven-bet-contact,32,,12,,33,
google / organic,/vara-tentatiei-push,50,,12,,79,
bing / organic,/recenzie/victory-bet-casino,27,,11,,33,
google / organic,/bonus-fara-depunere-bet7,40,,11,,41,
google / organic,/bonus-fara-depunere-betmen,22,,11,,24,
google / organic,/jocuri-cu-pacanele/40-crown-hot-clover-chance-gratis,100,,11,,300,
google / organic,/jocuri-cu-pacanele/5-line-fortune-gratis,198,,11,,248,
google / organic,/jocuri-cu-pacanele/888-dragons-gratis,57,,11,,65,
google / organic,/jocuri-cu-pacanele/asian-fortunes-gratis,61,,11,,128,
google / organic,/jocuri-cu-pacanele/cherry-trio-gratis,84,,11,,92,
google / organic,/jocuri-cu-pacanele/diamond-strike-gratis,119,,11,,154,
google / organic,/jocuri-cu-pacanele/plenty-of-fruit-40-gratis,142,,11,,207,
google / organic,/jocuri-cu-pacanele/sweet-bonanza-1000-gratis,138,,11,,190,
google / organic,/jocuri-cu-pacanele/versailles-gold-clover-chance-gratis,113,,11,,234,
google / organic,/recenzie/million-casino,13,,11,,15,
google / organic,/recenzie/prowin-casino,3,,11,,3,
google / organic,/recenzie/winboss-casino,4,,11,,4,
google / organic,/top-pacanele-cu-bile,91,,11,,123,
google / organic,/top-pacanele-cu-carti,52,,11,,63,
google / organic,/bonus-de-bun-venit-topbet-casino,113,,10,,120,
google / organic,/bonus-fara-depunere-million-casino,43,,10,,45,
google / organic,/cazinouri-paysafecard,18,,10,,18,
google / organic,/inregistrare-lady-casino,5,,10,,5,
google / organic,/jocuri-cu-pacanele/20-super-fruits-bell-link-gratis,126,,10,,209,
google / organic,/jocuri-cu-pacanele/40-zodiac-wheel-bell-link-gratis,155,,10,,343,
google / organic,/jocuri-cu-pacanele/big-bass-splash-gratis,160,,10,,230,
google / organic,/jocuri-cu-pacanele/burning-fortunator-gratis,61,,10,,106,
google / organic,/jocuri-cu-pacanele/jet-lucky-2-gratis,69,,10,,188,
google / organic,/jocuri-cu-pacanele/just-jewels-deluxe-gratis,64,,10,,84,
google / organic,/jocuri-cu-pacanele/rainbow-queen-gratis,39,,10,,55,
google / organic,/jocuri-cu-pacanele/rich-world-gratis,15,,10,,16,
google / organic,/jocuri-cu-pacanele/sizzling-hot-6-extra-gold-gratis,72,,10,,110,
google / organic,/jocuri-pacanele-cu-bani,46,,10,,48,
google / organic,/producatori-jocuri/pragmatic-play,81,,10,,108,
