First user source / medium,Landing page,Total users,% Δ,Add to carts,% Δ,Sessions,% Δ
google / organic,/bonus-casino,18412,,43014,,34457,
google / organic,/casino-online,7869,,18632,,11328,
google / organic,/cazinouri-online-rotiri-gratuite,3266,,10556,,6862,
google / organic,/,5923,,9511,,11564,
google / organic,/bonus-fara-rulaj,4676,,9377,,7162,
google / organic,/bonus-fara-depunere-2025,2471,,9020,,6035,
google / organic,(not set),5471,,8279,,12933,
google / organic,/rotiri-gratuite-fara-depunere-2025,1896,,7926,,4535,
google / organic,/bonus-fara-depunere-online,3129,,6686,,6032,
google / organic,/top-cazino-online,1830,,6269,,3640,
google / organic,/rotiri-fara-depunere-online,1987,,6183,,4395,
google / organic,/gads-lp-bonus-cu-depunere-2025,1620,,5188,,3226,
google / organic,/gads-lp-rotiri-gratuite-fara-depunere-pmax,1209,,5118,,2462,
google / organic,/rotiri-fara-depunere-pmax,1856,,5111,,3398,
google / organic,/new-subscribers-email,1573,,3894,,3605,
google / organic,/cazinouri-noi-licentiate,2123,,3322,,3471,
bing / organic,/bonus-casino,740,,2250,,1715,
google / organic,/gads-lp-rotiri-gratuite-fara-depunere-ex,424,,1786,,884,
bing / organic,/casino-online,448,,1246,,804,
google / organic,/calendar-craciun-casino,989,,1209,,1433,
google / organic,/blog/winner-bonus-fara-depunere,1505,,1198,,1835,
google / organic,/blog/promotii-superbet-fara-depunere,1934,,1150,,2242,
google / organic,/rotiri-fara-depunere-ex,399,,1034,,785,
google / organic,/blog/888-bonus-fara-depunere,1088,,924,,1409,
bing / organic,/cazinouri-online-rotiri-gratuite,226,,790,,402,
duckduckgo / organic,/bonus-casino,425,,683,,716,
google / organic,/blog/oferta-bonus-fara-depunere-netbet,810,,667,,1096,
google / organic,/bonusuri-de-noapte-2025,425,,622,,732,
google / organic,/blog/bilion-casino-bonus-fara-depunere,715,,604,,812,
google / organic,/blog/elite-slots-bonus-fara-depunere,716,,578,,835,
google / organic,/cazinouri-noi-cu-depunere,532,,496,,747,
google / organic,/toate-bonusurile-fara-depunere,292,,451,,437,
google / organic,/blog/betano-bonus-fara-depunere,682,,414,,796,
bing / organic,(not set),384,,397,,567,
google / organic,/cele-mai-noi-cazinouri,306,,385,,421,
qwant.com / organic,/bonus-casino,71,,355,,232,
google / organic,/blog/ultrabet-bonus-fara-depunere,872,,351,,985,
google / organic,/lp-oferte-craciun-mail,251,,351,,393,
google / organic,/t/bonus-fara-depunere,491,,351,,610,
google / organic,/blog/lady-casino-bonus-fara-depunere,418,,327,,483,
google / organic,/blog/promotii-haloween-cazino,391,,327,,602,
duckduckgo / organic,/casino-online,197,,321,,324,
google / organic,/blog/bonusbet-casino-bonus-fara-depunere,924,,310,,1008,
google / organic,/blog/bet7-bonus-fara-depunere,409,,305,,450,
google / organic,/promotii-paste-casino,1032,,304,,1332,
google / organic,/zinx-casino,446,,267,,504,
google / organic,/blog/betmen-bonus-fara-depunere,329,,262,,411,
duckduckgo / organic,(not set),202,,257,,291,
google / organic,/promotii-valentines-day,430,,257,,552,
google / organic,/777-casino,308,,256,,331,
google / organic,/blog/zinx-casino-bonus-fara-depunere,1178,,255,,1379,
google / organic,/blog/depunere-minima-10-lei,836,,251,,944,
google / organic,/blog/king-casino-bonus-fara-depunere,383,,250,,456,
google / organic,/blog/maxbet-bonus-fara-depunere,326,,248,,360,
google / organic,/halloween-2025-m,203,,229,,278,
google / organic,/vipbet-casino,455,,225,,501,
google / organic,/freebet-fara-depunere,293,,222,,389,
google / organic,/bonus-de-bun-venit-casino,150,,216,,202,
google / organic,/bonusuri-de-top,125,,216,,151,
google / organic,/top-oferte-cazinouri-romania-2026,200,,206,,275,
google / organic,/blog/12xbet-bonus-fara-depunere,485,,192,,554,
google / organic,/bonus-martisor-casino,376,,190,,458,
google / organic,/blog/hot-spins-bonus-fara-depunere,366,,187,,409,
google / organic,/bonusbet-casino,203,,181,,212,
google / organic,/cod-bonus-casino,302,,181,,375,
duckduckgo / organic,/cazinouri-online-rotiri-gratuite,73,,180,,154,
google / organic,/blog/bonus-fara-depunere-las-vegas-casino,247,,180,,277,
google / organic,/blog/conticazino-bonus-fara-depunere,214,,177,,260,
google / organic,/publicwin,213,,172,,223,
google / organic,/blog/napoleon-games-bonus-fara-depunere,200,,169,,229,
google / organic,/t/500-rotiri-gratuite,443,,167,,555,
google / organic,/blog/cazinouri-cu-retragere-rapida,329,,148,,413,
bing / organic,/blog/winner-bonus-fara-depunere,144,,141,,167,
google / organic,/cazinouri-rulaj-mic-2026,211,,140,,287,
google / organic,/blog/gets-bet-bonus-fara-depunere,230,,137,,266,
google / organic,/maxwin,190,,136,,223,
google / organic,/total-bet,179,,128,,194,
google / organic,/top-cazinouri,172,,125,,225,
google / organic,/blog/bonus-de-bun-venit-napoleon-games,394,,120,,437,
google / organic,/blog/top-aplicatii-casino,142,,117,,162,
google / organic,/princess-casino,246,,117,,265,
google / organic,/manhattan-casino,223,,113,,234,
google / organic,/blog/manhattan-casino-bonus-fara-depunere,418,,112,,469,
google / organic,/blog/royal-slots-bonus-fara-depunere,193,,111,,234,
google / organic,/blog/aplicatie-million-casino,173,,105,,187,
google / organic,/ml-blackfriday-2025,91,,104,,126,
google / organic,/pariuri-sportive,72,,104,,84,
google / organic,/blog/bonus-winner-casino,115,,100,,145,
google / organic,/don-casino,143,,100,,153,
google / organic,/vlad-cazino,169,,100,,197,
google / organic,/top-bonus-bun-venit,190,,99,,224,
google / organic,/bonus-casino-sm,37,,97,,83,
bing / organic,/bonus-fara-rulaj,51,,93,,60,
google / organic,/blog/cod-bonus-superbet,342,,90,,383,
google / organic,/topbet-casino,203,,90,,215,
